Les étudiant(e)s d'informatiques face à la situation sanitaire																																				
Détails de la soumission																																				
Séquentiel	Vous êtes 	En quelle année êtes-vous ?	Dans quelle filière étudiez-vous ?	Vous sentez-vous épanoui(e) dans vos études ?	Avez-vous ressenti une baisse de motivation au cours de ces derniers mois ?	Avez-vous ressenti l'envie d'arrêter vos études? 	Avez-vous consulté un(e) psychologue ou un(e) psychiatre suite à des difficultés liées à la situation sanitaire ?	Si vous-même demain, étiez concerné(e) par l’apparition d’un trouble mental, et que vous ressentiez le besoin de consulter et d’être pris(e) en charge, sauriez-vous à qui vous adresser ?	Vous sentez-vous isolé(e) socialement ?	Selon vous, le bien-être des étudiant(e)s est-il mis de côté ? 	Un sentiment de nervosité, d’anxiété ou de tension	Une tendance à être facilement contrarié(e) ou irritable	Des difficultés à se détendre	Une inquiétude excessive à propos de différentes choses	Une incapacité à arrêter de s’inquiéter ou à contrôler ses inquiétudes	Une agitation telle qu’il est difficile de tenir en place	Un sentiment de peur comme si quelque chose de terrible risquait de se produire	Vous sentir fatigué(e) ou avoir peu d’énergie 	Difficultés à vous endormir, à rester endormi ou trop dormir	Vous sentir triste, déprimé(e) ou désespéré(e)	Avoir peu d'appétit ou trop d'appétit	Peu d'intérêt ou de plaisir à faire les choses	Mauvaise perception de vous-même, vous pensez que vous êtes un(e) perdant(e) ou que vous n'avez pas satisfait vos propres attentes ou celles de votre famille	Difficultés à vous concentrer sur des choses telles que lire le journal ou regarder la télévision	Vous bougez ou vous parlez si lentement que les autres personnes ont pu le remarquer. Ou, au contraire, vous êtes si agité(e) que vous bougez beaucoup plus que d'habitude	Vous avez pensé que vous seriez mieux mort(e) ou vous avez pensé à vous blesser d'une façon ou d'une autre	Considérez-vous que les modalités d’enseignement actuelles permettent une formation correcte ?	Des remarques par rapport aux méthodes d'enseignement actuelles ?	Des pistes pour l'amélioration des méthodes d'enseignement ?	Etes-vous favorable à une réouverture des facultés et des amphithéâtres ?	Si les facs réouvraient 1 jour par semaine, seriez-vous en mesure de vous rendre en cours en présentiel ? 	Avez-vous dû changer de logement à cause de la situation sanitaire ?	Vous pouvez nous écrire un témoignage concernant votre logement ici	Avez-vous bénéficié d'une aide alimentaire avant le premier confinement ?	Avez-vous eu besoin d'une aide alimentaire depuis le début de la crise sanitaire ?	Si vous souhaitez nous laisser un petit mot ou témoigner de votre situation pour que l'on puisse le remonter aux enseignant(e)s, c'est ici :
11	Un homme	L3	Informatique	4	Oui un peu	Non	Non	Non, plutot pas	Non pas trop	Oui plutôt	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Non pas trop			Non	Ne sait pas encore	Non		Non	Non	
12	Un homme	M1	Informatique	3	Oui beaucoup	Oui	Non	Oui, à peu près	Oui beaucoup	Oui beaucoup	Presque tous les jours	Jamais	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Oui plutôt	Les professeurs de TD/TP particulièrement ont fait beaucoup d'effort pour qu'on puisse suivre sereinement nos cours via discord. Pour les professeurs d'amphi ils restent malgré tout parfois un peu fermé à nos requêtes		Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Non	Oui une fois		Non	Non	"Les enseignant.e.s ont fait des efforts qui rendent les cours plus simple à suivre pour la plupart.
Par contre les responsables de master ou de pédagogie nous laissent dans un flou total. Ils nous ont demandé de nous inscrire sans nous mettre un délais particulier pour au bout de moins d'une semaine fermer les inscriptions sans prévenir, avant même qu'on puisse assister au cours pour se faire une idée.
Pendant les examens et les soutenances les enseignants se sont permis des familiarités et des injures à propos des étudiants, troublant le calme nécessaire pour faire un examen sans vraiment respecter les règles sanitaires (on se passait les copies entre étudiants, toucher nos cartes étudiantes, laisser les fenêtres fermées pour les soutenances, etc...) "
13	Une femme	M1	Informatique	2	Oui beaucoup	Oui	Oui	Non, plutot pas	Oui plutôt	Oui beaucoup	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Non pas trop	Les journées sont parfois très longues, et nous n'avons pas de pause car les enseignants dépassent de leurs horaires. Il est difficile de manger le midi, et quasi impossible de ne serait-ce qu'aller aux toilettes entre deux cours.		Ne souhaite pas répondre	Oui	Non		Non	Non	"J'habite dans un deux pièces avec mon copain et ma fille de 6 mois. Je n'ai pas trouvé de mode de garde pour mon bébé jusqu'à très récemment, je n'ai eu aucun soutien de la fac, et il est difficile de suivre les cours toute la journée en distanciel en s'occupant en même temps d'un bébé.
Je viens d'être diagnostiquée avec une dépression et un trouble anxieux. La situation est difficile et les enseignants se montrent parfois peu compréhensifs."
14	Un homme	L3	Informatique	3	Oui beaucoup	Oui	Non	Oui, à peu près	Oui beaucoup	Oui beaucoup	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Jamais	Jamais	Oui plutôt	"Absence de réels communication entre les professeurs et les élèves
"	Les profs devraient faire plus de sondage pour nous demander du feedback sur leur cours 	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	"Pas vraiment
Par rapport à la maquette de la licence cependant, ça serait bien d'avoir un projet INTER-UE obligatoires, par exemple pour ce semestre on aurait pu avoir un site à faire, utilisant une BDD, et proposant un service d'analyse grammaticale ? Ça serait toujours plus concret qu'avoir des projets à droite à gauche :/
Merci beaucoup à l'équipe d'IP7 pour avoir organisé ce sondage vous êtes top ❤️"
15	Un homme	L3	Informatique	3	Oui beaucoup	Oui	Non	Non, pas du tout	Oui plutôt	Ne souhaite pas répondre	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non		Non	Non	
16	Une personne non-binaire	L1	Informatique	3	Oui un peu	Non	Non	Non, plutot pas	Oui plutôt	Oui plutôt	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Plus de la moitié du temps	Non pas trop			Oui pour la totalité des cours	Oui	Non		Non	Non	
17	Une femme	L3	Informatique	1	Oui beaucoup	Oui	Non	Non, plutot pas	Oui plutôt	Oui plutôt	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Jamais	Jamais	Non pas du tout		La reprise des cours en présentiel, pour ceux qui le souhaitent.	Oui pour la totalité des cours	Oui	Non		Non	Non	
18	Un homme	L1	Informatique / LLCER Japonais	3	Oui un peu	Non	Non	Oui, à peu près	Non pas du tout	Oui plutôt	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Oui beaucoup			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non		Non	Non	
19	Une personne non-binaire	M1	Informatique	2	Oui beaucoup	Oui	Oui	Oui, tout à fait	Oui plutôt	Oui beaucoup	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Non pas trop	Gros manque de communication, des profs qui nous donnent 0 nouvelle et une charge de travail toujours aussi importante 		Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Ne souhaite pas répondre	
20	Un homme	L1	Informatique	5	Oui un peu	Non	Non	Non, plutot pas	Oui plutôt	Oui plutôt	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Presque tous les jours	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
21	Un homme	M1	Informatique	4	Oui beaucoup	Oui	Non	Oui, tout à fait	Oui beaucoup	Ne souhaite pas répondre	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Presque tous les jours	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop			Non	Oui	Non		Non	Non	
22	Un homme	M2	Informatique	3	Oui beaucoup	Oui	Non	Non, plutot pas	Non pas trop	Oui beaucoup	Presque tous les jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
23	Un homme	L1	Informatique	5	Oui un peu	Non	Non	Oui, à peu près	Oui plutôt	Oui plutôt	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop	Il faut garder les Tp/TD en presentiel, mais faut faire attention à ce que l'on ai pas des cours à distance et sur place dans la même journée. 	Avoir un lieu où l'on peut se faire aider sur ses DM/projets perso (Channel discord ou autre) et aussi avoir les profs dans ce Channel pour qu'il puisse se rendre compte si leur cours son compris ou non. 	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	J'ai la chance d'habiter près de la Gare et de ne pas avoir un trajet trop long en train. Mais si il est plus agréable pour certaines personnes d'avoir cours à distance ça ne me dérange pas. 	Non	Non	Merci bcp de prendre en compte notre avis sur la situation ^^. 
24	Un homme	L2	Informatique	2	Oui beaucoup	Non	Non	Non, pas du tout	Oui plutôt	Oui beaucoup	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Jamais	Plus de la moitié du temps	Presque tous les jours	Jamais	Jamais	Jamais	Non pas trop	J'ai l'impression de recevoir trop d'informations à traiter lors des amphis. Les cours vont  trop vites et on n'a pas le temps de comprendre ce qui est dit.	Des cours plus structuré et des petites pauses d'une ou deux minutes entre chaque partie importante pour facilite la compréhension	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	Le seul espace de travail disponible chez moi et dans le couloir en face de la porte d'entrée de mon appartement, le seul lieux ou je peux être isolé pour écouter des cours et dans mon lit ce qui n'est pas adapté pour se concentrer. Le bruit de ma famille me gène souvent et je ne peux pas leur demander d'arrêter de vivre leur vie pour que je puisse écouter mes cours parce que nous avons tous les même problèmes.	Non	Non	Rien à ajouter
25	Un homme	L3	Informatique	5	Oui beaucoup	Oui	Non	Non, plutot pas	Non pas trop	Oui plutôt	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Plusieurs jours	Jamais	Plusieurs jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop	"Je trouve qu'il est facile de se plaindre et que ce n'est pas facile, également pour les professeurs. Cependant je peux reprocher ce sont les cours ""questions/réponses"" qui ne sont pas souvent utiles.
De plus j'espère que contrairement au semestre dernier, la quantité de travail au niveau des projets sera plus petit. Je travail 30/35h par semaine en plus des cours et c'est compliquer de jongler 5 projets en même temps, même pour mes camarades qui ne travaillent pas.
"	"Pas vraiment, nous sommes tous prit et contraints par la situation.
Le mieux a faire est d'apporter du soutien à celles et ceux qui en ont besoins!"	Non	Non	Non	Je vis seul dans mon appartement, je ne me plains pas car je vis bien la solitude. De plus mon appartement n'est pas trop petit et j'ai un balcon.	Non	Non	Bon courage à vous aussi! :)
26	Une femme	L2	Informatique	2	Oui beaucoup	Non	Non	Oui, à peu près	Oui beaucoup	Oui plutôt	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plusieurs jours	Jamais	Non pas trop			Oui pour la totalité des cours	Oui	Oui plusieurs fois	je vais tous les jours a la bibliothéque pour suivre mes cours car la ou j'habite je n'ai pas un espace de travail de plus le bibliothèques s ouvrent a 9h30 et ca m'arrive de commencer les cours a 8h30 donc je rate des  et encore je prend le risque de rentrer a 18h de payer une amande de 130e	Non	Non	la situation est vraiment dure quand on a pas un logement stable avec un espace de travail 
27	Un homme	L2	Informatique	2	Oui beaucoup	Non	Non	Oui, à peu près	Non pas trop	Oui plutôt	Plusieurs jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
28	Un homme	L1	Informatique	2	Oui beaucoup	Oui	Non	Oui, à peu près	Oui beaucoup	Oui plutôt	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Jamais	Jamais	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Jamais	Plusieurs jours	Presque tous les jours	Jamais	Jamais	Plusieurs jours	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
29	Un homme	L1	Mathematiques Informatique	4	Oui un peu	Non	Non	Oui, à peu près	Oui plutôt	Oui plutôt	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Oui beaucoup	Merci à l’enseignante qui n’aura jamais répondu aux e-mails malgré plusieurs envoies a plusieurs adresses.	OUI : Imposer un délai pour rendre les copies/notes/réponses aux mails	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	"Repondez. Aux. Mails...
Aidez les élèves en répondants les questions, en scannant les copies et non pas en donnant la copie du partiel 5min avant de commencer l’examen terminal."
30	Un homme	M2	Langages et Programmation	2	Oui beaucoup	Oui	Non	Non, pas du tout	Non pas trop	Ne souhaite pas répondre	Ne souhaite pas répondre	Ne souhaite pas répondre	Plus de la moitié du temps	Jamais	Jamais	Jamais	Jamais	Presque tous les jours	Presque tous les jours	Jamais	Jamais	Presque tous les jours	Jamais	Presque tous les jours	Jamais	Jamais	Non pas trop	C'est assez alétoire, ça dépend du profs et de leur volontés à continuer de nous donner des enseignements de qualité. Mais essayer de vouloir continuer à faire cours comme avant avec des cm/td en distanciel ça ne fonctionne pas. Les élèves perdus sont justes perdus. Après certains enseignants essayent bien de nous faire participer mais c'est aussi compliquer quand ils ont un mur en face.	Eviter de laisser partir tous les bons enseignants et de nous donner des enseignants qui ne veulent pas faire cours.	Non	Non	Oui plusieurs fois		Non	Non	Merci aux enseignants qui ont tous donnés pendant la situation, qui ont continués à répondre aux mails questions en permance. Si je finis mon master 2 actuellement c'est uniquement grâce à eux.
31	Un homme	L3	Informatique	4	Oui beaucoup	Non	Non	Non, pas du tout	Oui plutôt	Oui plutôt	Plusieurs jours	Plus de la moitié du temps	Jamais	Jamais	Jamais	Jamais	Jamais	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Oui beaucoup			Non	Non	Non		Non	Non	
32	Une femme	M2	Informatique	1	Oui beaucoup	Oui	Ne souhaite pas répondre	Oui, tout à fait	Oui beaucoup	Oui beaucoup	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Non pas du tout	"Du stress est rajouté aux étudiants en modifiant illégalement les MCC en plein milieu d'année. je pense surtout au M2 dont on a ""interdit"" l'accès à certaines matières dont des fondamentales de parcours. En nous faisant passer pour des enfants en nous disant que les profs savent mieux ce qui est bon pour nous que nous. En continuant stupidement les cours comme si de rien n'était en laissant la charge de travail la même voire en l'augmentant. Ils se plaignent des difficultés qu'ils. ont avec la crise sanitaire mais ce ne sont pas les seuls. Nous aussi c'est difficile. Mais nous on sait que c'est difficile pour tout le monde. Eux non."	Commencer par apprendre à enseigner. A savoir que l'enseignement ce n'est pas que le bon déroulement d'un cours mais aussi être à l'écoute des étudiants.	Non	Non	Non	c'est un 20 mètres carré, un bordel sans nom t je peux même pas y échapper. je suis bloquée chez moi pour travailler.	Non	Oui	"La remonter aux enseignants, ça ne sert à rien. Vous allez pas changer le monde avec vos faux bons espoirs. Ils ne vous écouteront pas pour autant et feront mine de s'intéresser à vous ""oui oui oui c'est bien. Gentil étudiant maintenant coucouche panier"""
33	Un homme	L2	Informatique	5	Oui un peu	Non	Non	Non, pas du tout	Oui plutôt	Oui beaucoup	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Jamais	Jamais	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Ne souhaite pas répondre	Non pas trop	tout dépend des professeurs, pour le coup c'est un petit peu au petit bonheur la chance. Si vous tombez sur un professeur investi vous maitriserez facilement la matière à contrario un professeur qui délaisserait ses élèves et puis c'est l'incompréhension totale et puis petit à petit le dégout de la matière  	Une meilleure communication et une meilleure maitrise des outils (Discord/Zoom), des cours avec plus de schémas et pas simplement des slides à s'endormir au bout de 10 minutes, de l'interaction avec les élèves pour certains cours.	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non		Non	Non	
